Date,Block Height,net_sha3 (TH/s),net_rxt (GH/s),net_rxm (GH/s),net_c29 (Kg/s)
2025-05-08 10:38:50,1810,2.05,,0.75,
2025-05-08 10:43:45,1813,2.05,,0.76,
2025-05-08 10:45:13,1814,2.05,,0.76,
2025-05-08 11:00:12,1817,2.06,,0.77,
2025-05-08 12:00:10,1845,2.13,,0.75,
2025-05-08 14:00:04,1901,2.01,,0.68,
2025-05-08 15:00:04,1925,2.0,,0.65,
2025-05-08 16:00:06,1961,1.9,,0.65,
2025-05-08 17:00:06,1984,2.06,,0.65,
2025-05-08 18:00:07,2016,1.92,,0.61,
2025-05-08 19:00:00,2050,1.97,,0.65,
2025-05-08 20:00:09,2082,2.02,,0.67,
2025-05-08 21:00:09,2109,2.06,,0.7,
2025-05-08 22:00:04,2141,2.06,,0.68,
2025-05-08 23:00:08,2167,2.19,,0.65,
2025-05-09 00:00:12,2201,2.11,,0.61,
2025-05-09 01:00:14,2240,2.16,,0.7,
2025-05-09 02:00:15,2266,2.3,,0.71,
2025-05-09 03:00:06,2300,2.58,,0.65,
2025-05-09 04:00:16,2321,2.49,,0.65,
2025-05-09 05:00:17,2356,2.33,,0.62,
2025-05-09 06:00:18,2389,2.47,,0.67,
2025-05-09 07:00:18,2423,2.44,,0.8,
2025-05-09 08:00:19,2454,2.08,,0.97,
2025-05-09 09:00:20,2486,2.13,,1.03,
2025-05-09 10:00:20,2511,2.29,,0.97,
2025-05-09 12:00:07,2560,2.55,,0.73,
2025-05-09 13:00:11,2584,2.57,,0.64,
2025-05-09 14:00:00,2597,2.44,,0.62,
2025-05-09 15:00:04,2629,2.36,,0.53,
2025-05-09 16:00:05,2652,2.3,,0.52,
2025-05-09 17:00:18,2690,2.29,,0.51,
2025-05-09 18:00:24,2711,2.32,,0.5,
2025-05-09 19:00:15,2735,2.24,,0.45,
2025-05-09 20:00:04,2769,2.32,,0.43,
2025-05-09 21:00:13,2809,2.27,,0.52,
2025-05-09 22:00:27,2846,2.23,,0.74,
2025-05-09 23:00:28,2880,2.01,,0.95,
2025-05-10 00:00:29,2916,2.28,,0.95,
2025-05-10 01:00:02,2950,2.27,,0.94,
2025-05-10 02:00:07,2982,2.48,,0.96,
2025-05-10 03:00:12,3019,2.64,,1.08,
2025-05-10 04:00:18,3050,2.72,,1.12,
2025-05-10 05:00:23,3080,2.87,,1.05,
2025-05-10 06:00:29,3105,2.78,,1.08,
2025-05-10 07:00:22,3134,2.58,,1.06,
2025-05-10 08:00:19,3167,2.46,,1.12,
2025-05-10 09:00:12,3203,2.35,,1.29,
2025-05-10 10:00:03,3225,2.51,,1.27,
2025-05-10 11:00:36,3262,2.67,,1.23,
2025-05-10 12:00:22,3296,2.74,,1.28,
2025-05-10 13:00:02,3327,2.87,,1.36,
2025-05-10 14:00:06,3354,2.82,,1.36,
2025-05-10 17:00:09,3441,2.51,,1.31,
2025-05-10 18:00:14,3470,2.42,,1.32,
2025-05-10 19:00:41,3509,2.97,,1.28,
2025-05-10 20:00:42,3540,3.31,,1.26,
2025-05-10 22:00:02,3585,2.85,,1.21,
2025-05-10 23:00:07,3623,2.94,,1.18,
2025-05-11 00:00:11,3655,3.04,,1.25,
2025-05-11 01:00:16,3688,3.09,,1.28,
2025-05-11 02:00:21,3721,3.58,,1.26,
2025-05-11 03:00:27,3748,3.4,,1.28,
2025-05-11 04:00:32,3774,3.13,,1.35,
2025-05-11 05:00:26,3798,2.82,,1.29,
2025-05-11 06:00:43,3831,2.79,,1.2,
2025-05-11 07:00:02,3868,2.97,,1.25,
2025-05-11 08:00:03,3895,3.13,,1.32,
2025-05-11 09:00:42,3917,3.25,,1.3,
2025-05-11 10:00:03,3945,2.93,,1.16,
2025-05-11 11:00:07,3976,2.71,,1.2,
2025-05-11 12:00:11,4008,3.06,,1.15,
2025-05-11 13:00:05,4042,3.22,,1.09,
2025-05-11 14:00:07,4076,3.04,,1.28,
2025-05-11 15:00:24,4104,3.03,,1.37,
2025-05-11 16:00:05,4144,3.85,,1.3,
2025-05-11 17:00:05,4184,5.14,,1.22,
2025-05-11 19:00:03,4250,7.52,,1.15,
2025-05-11 20:00:11,4277,7.98,,1.12,
2025-05-11 21:00:18,4323,9.5,,1.06,
2025-05-11 22:00:27,4358,10.6,,1.21,
2025-05-11 23:00:02,4391,10.8,,1.29,
2025-05-12 00:00:07,4426,13.3,,1.3,
2025-05-12 01:00:13,4447,14.5,,1.18,
2025-05-12 02:00:11,4467,12.5,,1.08,
2025-05-12 03:00:02,4490,10.8,,0.98,
2025-05-12 04:00:28,4522,10.5,,0.96,
2025-05-12 05:00:25,4553,11.0,,0.93,
2025-05-12 06:00:00,4585,12.2,,0.91,
2025-05-12 07:00:05,4621,14.1,,0.88,
2025-05-12 08:00:16,4656,15.2,,0.89,
2025-05-12 09:00:54,4693,19.3,,0.95,
2025-05-12 10:00:09,4730,20.0,,1.01,
2025-05-12 11:00:04,4762,20.6,,1.09,
2025-05-12 12:00:09,4795,20.6,,1.11,
2025-05-12 13:00:14,4834,26.0,,1.18,
2025-05-12 14:00:19,4868,31.2,,1.15,
2025-05-12 15:00:02,4898,32.5,,1.1,
2025-05-12 16:00:29,4933,36.4,,1.07,
2025-05-12 17:00:34,4956,37.7,,1.03,
2025-05-12 18:00:04,4993,37.7,,0.98,
2025-05-12 19:00:08,5031,35.7,,1.24,
2025-05-12 20:00:47,5066,37.7,,1.4,
2025-05-12 21:00:54,5098,41.3,,1.45,
2025-05-12 22:00:24,5122,39.8,,1.38,
2025-05-12 23:00:05,5145,36.2,,1.39,
2025-05-13 00:00:09,5179,36.2,,1.29,
2025-05-13 01:00:09,5201,34.4,,1.29,
2025-05-13 02:00:02,5233,34.7,,1.18,
2025-05-13 03:00:28,5277,36.9,,1.46,
2025-05-13 04:00:04,5300,38.3,,1.51,
2025-05-13 05:00:18,5333,38.1,,1.31,
2025-05-13 06:00:01,5362,37.7,,1.39,
2025-05-13 07:00:50,5394,38.6,,1.42,
2025-05-13 08:00:02,5429,36.7,,1.52,
2025-05-13 09:00:01,5460,38.0,,1.73,
2025-05-13 10:00:07,5481,38.4,,1.7,
2025-05-13 11:00:12,5522,36.8,,1.61,
2025-05-13 12:00:05,5552,39.8,,1.68,
2025-05-13 13:00:23,5585,39.8,,1.79,
2025-05-13 14:00:08,5619,39.4,,1.98,
2025-05-13 15:00:23,5645,40.8,,1.89,
2025-05-13 16:00:39,5683,42.7,,1.88,
2025-05-13 17:00:44,5707,38.8,,2.03,
2025-05-13 18:00:16,5736,45.8,,1.94,
2025-05-13 19:00:30,5762,50.8,,1.65,
2025-05-13 20:00:33,5777,46.3,,1.57,
2025-05-13 21:00:34,5810,43.6,,1.33,
2025-05-13 22:00:21,5833,44.7,,1.26,
2025-05-13 23:00:18,5868,41.0,,1.3,
2025-05-14 00:00:19,5895,42.9,,1.32,
2025-05-14 01:00:49,5927,42.6,,1.31,
2025-05-14 02:00:25,5951,40.1,,1.34,
2025-05-14 03:00:03,5983,37.9,,1.36,
2025-05-14 04:00:59,6021,44.7,,1.39,
2025-05-14 05:00:03,6052,48.3,,1.32,
2025-05-14 06:00:06,6077,48.1,,1.33,
2025-05-14 07:00:04,6100,47.6,,1.32,
2025-05-14 08:00:00,6127,47.6,,1.32,
2025-05-14 09:00:16,6158,47.6,,1.32,
2025-05-14 10:00:20,6192,47.6,,1.32,
2025-05-14 11:00:23,6224,47.6,,1.32,
2025-05-14 12:00:27,6248,47.6,,1.32,
2025-05-14 13:00:30,6279,47.6,,1.32,
2025-05-14 14:00:34,6312,47.9,,1.1,
2025-05-14 15:00:02,6335,47.9,,1.1,
2025-05-14 16:00:27,6368,47.9,,1.1,
2025-05-14 17:00:44,6390,53.7,,0.97,
2025-05-14 18:00:45,6412,47.9,,1.1,
2025-05-14 19:00:00,6434,51.5,,0.96,
2025-05-14 20:00:51,6455,51.5,,0.96,
2025-05-14 21:00:58,6472,49.6,,0.94,
2025-05-14 22:00:02,6493,51.5,,0.96,
2025-05-14 23:00:06,6535,49.6,,0.94,
2025-05-15 00:00:11,6570,49.6,,0.94,
2025-05-15 01:00:15,6600,36.6,,0.65,
2025-05-15 02:00:00,6629,49.6,,0.94,
2025-05-15 03:00:23,6658,51.5,,0.96,
2025-05-15 04:00:26,6685,47.8,,0.59,
2025-05-15 05:00:31,6721,47.8,,0.59,
2025-05-15 06:00:34,6746,50.7,,0.56,
2025-05-15 07:00:39,6784,50.7,,0.56,
2025-05-15 08:00:43,6806,49.6,,0.94,
2025-05-15 09:00:07,6834,49.6,,0.94,
2025-05-15 10:00:50,6863,49.6,,0.94,
2025-05-15 11:00:01,6892,47.8,,0.59,
2025-05-15 12:00:59,6912,49.6,,0.94,
2025-05-15 13:00:03,6938,50.7,,0.56,
2025-05-15 14:00:06,6965,50.7,,0.56,
2025-05-15 15:00:14,6995,47.8,,0.59,
2025-05-15 16:00:18,7020,44.4,,0.43,
2025-05-15 17:00:21,7048,45.5,,0.42,
2025-05-15 18:00:26,7082,44.4,,0.43,
2025-05-15 19:00:30,7114,33.8,,0.55,
2025-05-15 20:00:24,7148,33.8,,0.55,
2025-05-15 21:00:37,7185,33.8,,0.55,
2025-05-15 22:00:41,7215,33.8,,0.55,
2025-05-15 23:00:07,7246,33.8,,0.55,
2025-05-16 00:00:49,7274,36.5,,0.78,
2025-05-16 01:00:54,7308,33.8,,0.55,
2025-05-16 02:00:58,7339,33.8,,0.55,
2025-05-16 03:00:03,7373,33.8,,0.55,
2025-05-16 04:00:05,7408,41.7,,0.77,
2025-05-16 05:00:06,7440,33.8,,0.55,
2025-05-16 06:00:07,7470,33.8,,0.55,
2025-05-16 07:00:20,7498,33.8,,0.55,
2025-05-16 08:00:24,7518,41.7,,0.77,
2025-05-16 09:00:28,7546,33.8,,0.55,
2025-05-16 10:00:33,7586,41.5,,0.77,
2025-05-16 11:00:37,7613,33.8,,0.55,
2025-05-16 12:00:35,7653,39.2,,0.99,
2025-05-16 13:00:03,7680,41.7,,0.77,
2025-05-16 14:00:09,7712,41.7,,0.77,
2025-05-16 15:00:56,7746,33.8,,0.55,
2025-05-16 16:00:00,7772,41.7,,0.77,
2025-05-16 17:00:04,7801,33.8,,0.55,
2025-05-16 18:00:08,7834,39.2,,0.99,
2025-05-16 19:00:00,7862,33.8,,0.55,
2025-05-16 20:00:00,7898,44.9,,0.95,
2025-05-16 21:00:21,7923,33.8,,0.55,
2025-05-16 22:00:01,7951,39.2,,0.99,
2025-05-16 23:00:09,7981,33.8,,0.55,
2025-05-17 00:00:18,8022,39.2,,0.99,
2025-05-17 01:00:38,8049,33.8,,0.55,
2025-05-17 02:00:42,8075,39.2,,0.99,
2025-05-17 03:00:30,8115,47.2,,1.1,
2025-05-17 04:00:52,8131,33.8,,0.55,
2025-05-17 05:00:16,8159,39.2,,0.99,
2025-05-17 06:00:01,8194,47.2,,1.1,
2025-05-17 07:00:05,8220,47.2,,1.1,
2025-05-17 08:00:01,8251,47.2,,1.1,
2025-05-17 09:00:13,8280,39.2,,0.99,
2025-05-17 10:00:17,8317,47.2,,1.1,
2025-05-17 11:00:17,8346,47.2,,1.1,
2025-05-17 12:00:26,8385,33.8,,0.55,
2025-05-17 13:00:29,8418,33.8,,0.55,
2025-05-17 14:00:30,8446,57.1,,1.1,
2025-05-17 15:00:38,8471,55.0,,1.28,
2025-05-17 16:00:42,8499,47.9,,1.24,
2025-05-17 17:00:47,8531,55.0,,1.28,
2025-05-17 18:00:12,8557,55.0,,1.28,
2025-05-17 19:00:01,8592,47.9,,1.24,
2025-05-17 20:01:00,8624,55.0,,1.28,
2025-05-17 21:00:04,8658,47.9,,1.24,
2025-05-17 22:00:09,8684,55.0,,1.28,
2025-05-17 23:00:14,8708,47.9,,1.24,
2025-05-18 00:00:18,8746,55.0,,1.28,
2025-05-18 01:00:20,8773,55.0,,1.28,
2025-05-18 02:00:21,8804,55.0,,1.28,
2025-05-18 03:00:33,8848,55.1,,1.21,
2025-05-18 04:00:38,8879,54.6,,1.48,
2025-05-18 05:00:43,8909,54.6,,1.48,
2025-05-18 06:00:45,8933,55.1,,1.21,
2025-05-18 07:00:52,8948,55.1,,1.21,
2025-05-18 08:00:57,8970,54.6,,1.48,
2025-05-18 09:00:01,9000,54.6,,1.5,
2025-05-18 10:00:06,9042,55.1,,1.21,
2025-05-18 11:00:11,9070,55.1,,1.21,
2025-05-18 12:00:16,9101,55.1,,1.21,
2025-05-18 13:00:21,9127,54.6,,1.5,
2025-05-18 14:00:26,9168,55.1,,1.21,
2025-05-18 15:00:18,9198,58.3,,1.42,
2025-05-18 16:00:35,9230,55.1,,1.21,
2025-05-18 17:00:40,9256,54.6,,1.5,
2025-05-18 18:00:16,9284,58.3,,1.42,
2025-05-18 19:00:49,9312,58.3,,1.42,
2025-05-18 20:00:53,9337,58.3,,1.42,
2025-05-18 21:00:54,9369,54.6,,1.5,
2025-05-18 22:00:03,9401,55.1,,1.21,
2025-05-18 23:00:07,9436,58.3,,1.42,
2025-05-19 00:00:12,9468,63.7,,1.27,
2025-05-19 01:00:18,9493,58.3,,1.42,
2025-05-19 02:00:23,9521,57.9,,1.33,
2025-05-19 03:00:17,9561,56.9,,1.33,
2025-05-19 04:00:32,9589,57.5,,1.33,
2025-05-19 05:00:38,9619,56.9,,1.33,
2025-05-19 06:00:43,9653,56.9,,1.33,
2025-05-19 07:00:32,9689,56.9,,1.33,
2025-05-19 08:00:33,9721,56.9,,1.33,
2025-05-19 09:00:12,9743,56.9,,1.33,
2025-05-19 10:00:03,9773,57.5,,1.33,
2025-05-19 11:00:08,9787,56.9,,1.33,
2025-05-19 12:00:10,9817,57.5,,1.33,
2025-05-19 13:00:07,9859,57.5,,1.33,
2025-05-19 14:00:23,9894,57.5,,1.33,
